participant_id,sex,age,race,class_year,full_time,sleep_hours,study_hours_week,physical_activity_days,alcohol_drinks_week,food_insecure,breakfast_days_week,fast_food_freq_week,fruit_servings_week,veg_servings_week,milk_servings_week,soda_servings_week,breakfast_quality,diet_quality_overall,pre_test_meal,gpa,biology_test_score
1,female,20,hispanic,junior,1,5.86,10.38,2,4,0,4,3,2,1,13,11,good,good,home_made,3.51,89.96
2,female,18,white,junior,1,8.67,4.91,5,6,0,2,1,4,11,5,1,average,good,fast_food,2.98,80.24
3,female,19,white,freshman,1,9.25,17.65,2,5,0,1,2,2,2,5,6,good,average,fast_food,3.68,69.98
4,male,18,black,junior,1,8.03,7.06,2,0,0,5,0,1,7,12,8,average,average,fast_food,3.71,88.08
5,female,20,asian,sophomore,1,5.66,16.81,4,4,0,7,3,4,12,11,5,average,poor,fast_food,3.04,75.07
6,female,19,other,freshman,1,8.49,11.68,4,4,0,6,1,10,2,4,4,average,average,home_made,3.62,90.81
7,female,19,white,junior,1,6.87,17.3,0,2,0,7,0,11,13,1,9,average,average,restaurant,4.0,95.71
8,female,20,other,senior,1,6.24,11.82,5,1,0,5,3,8,12,7,2,poor,average,restaurant,3.39,87.22
9,female,18,white,freshman,1,5.87,16.92,4,1,0,0,5,2,12,5,7,good,good,restaurant,3.18,89.18
10,female,18,hispanic,sophomore,1,7.61,16.1,2,4,0,2,3,1,6,9,14,average,average,fast_food,3.19,76.54
11,male,18,other,senior,0,8.28,9.88,1,3,0,4,1,3,4,9,4,good,average,fast_food,3.52,97.56
12,male,19,other,freshman,0,6.75,11.6,4,2,1,5,3,0,9,9,7,average,average,restaurant,3.21,83.89
13,female,20,white,junior,1,8.89,11.52,2,0,0,5,1,4,4,4,19,good,average,home_made,3.05,90.13
14,female,20,white,senior,1,5.42,20.18,2,3,1,0,0,5,9,5,10,good,poor,restaurant,4.0,91.0
15,female,19,white,sophomore,1,5.51,22.63,2,3,0,1,1,11,10,13,2,average,good,home_made,3.92,100.0
16,female,21,white,senior,1,6.94,15.65,0,0,0,6,0,6,3,10,6,average,poor,fast_food,3.99,100.0
17,female,19,white,senior,1,8.52,13.39,3,2,0,1,1,6,7,8,8,average,good,fast_food,3.67,76.95
18,male,22,white,sophomore,0,6.82,7.76,4,3,0,2,0,1,5,8,11,good,poor,home_made,3.2,81.21
19,male,19,white,freshman,1,6.46,6.78,3,0,1,0,0,1,11,11,20,average,poor,fast_food,3.06,96.43
20,female,18,white,freshman,1,7.48,12.37,3,3,1,2,2,2,8,10,7,poor,average,restaurant,3.46,88.8
21,female,19,white,junior,1,7.63,19.65,2,3,0,1,0,8,8,1,1,poor,good,fast_food,4.0,87.76
22,male,19,other,sophomore,1,6.08,1.29,3,5,0,4,7,7,2,3,14,average,good,restaurant,2.5,69.97
23,female,20,white,freshman,1,5.98,17.76,5,3,1,7,4,3,9,8,19,poor,poor,home_made,3.4,98.12
24,male,22,white,junior,1,6.63,16.88,0,3,1,0,3,1,6,8,3,average,average,fast_food,3.26,88.5
25,male,20,other,freshman,1,7.85,14.95,0,2,0,3,0,6,11,8,0,average,average,fast_food,3.38,85.71
26,female,21,white,freshman,1,6.11,9.83,3,2,1,7,0,10,6,4,1,good,average,fast_food,3.39,73.49
27,female,21,hispanic,sophomore,1,7.7,9.56,2,0,0,6,1,0,6,4,0,average,good,fast_food,4.0,79.8
28,female,20,asian,sophomore,1,7.49,8.36,1,0,0,3,5,1,12,12,20,average,average,home_made,3.33,94.19
29,female,22,white,junior,1,8.28,0.0,4,2,0,7,2,0,5,13,13,good,good,home_made,3.61,84.67
30,female,19,white,junior,1,6.8,13.45,3,0,0,3,4,5,10,11,7,good,average,fast_food,3.23,88.96
31,female,19,hispanic,sophomore,1,7.7,21.85,2,1,0,3,0,2,8,9,3,poor,poor,home_made,4.0,90.88
